"participant_id","trial_num","phase","rotation_angle","trial_type","ref_object","comp_object","object_identity","response","correct_response","correct","rt_ms","sex","gaming_hrs_week","gaming_group"
"20260403_163233",11,"main",0,"same","8cube_B","8cube_B","8cube_B","same","same",1,3773.13,"F",7,"High"
"20260403_163233",12,"main",90,"same","10cube_A","10cube_A","10cube_A","same","same",1,2491.89,"F",7,"High"
"20260403_163233",13,"main",90,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,1747.77,"F",7,"High"
"20260403_163233",14,"main",0,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,1047.03,"F",7,"High"
"20260403_163233",15,"main",270,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,1294.79,"F",7,"High"
"20260403_163233",16,"main",270,"same","8cube_B","8cube_B","8cube_B","same","same",1,2511.64,"F",7,"High"
"20260403_163233",17,"main",270,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,2078.84,"F",7,"High"
"20260403_163233",18,"main",180,"same","10cube_A","10cube_A","10cube_A","same","same",1,2270.95,"F",7,"High"
"20260403_163233",19,"main",90,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,2042.13,"F",7,"High"
"20260403_163233",20,"main",90,"same","8cube_B","8cube_B","8cube_B","same","same",1,2687.51,"F",7,"High"
"20260403_163233",21,"main",0,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,1270.15,"F",7,"High"
"20260403_163233",22,"main",270,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,1670.48,"F",7,"High"
"20260403_163233",23,"main",0,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,1907.55,"F",7,"High"
"20260403_163233",24,"main",90,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,2380.48,"F",7,"High"
"20260403_163233",25,"main",90,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,1258.6,"F",7,"High"
"20260403_163233",26,"main",270,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,1425.64,"F",7,"High"
"20260403_163233",27,"main",0,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,1128.12,"F",7,"High"
"20260403_163233",28,"main",0,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,911.48,"F",7,"High"
"20260403_163233",29,"main",270,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,1313.99,"F",7,"High"
"20260403_163233",30,"main",270,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,2099.03,"F",7,"High"
"20260403_163233",31,"main",180,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,1865.29,"F",7,"High"
"20260403_163233",32,"main",180,"same","8cube_B","8cube_B","8cube_B","same","same",1,1416.63,"F",7,"High"
"20260403_174426",1,"main",180,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,979.74,"M",7,"High"
"20260403_174426",2,"main",0,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,2087.98,"M",7,"High"
"20260403_174426",3,"main",270,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,779.69,"M",7,"High"
"20260403_174426",4,"main",90,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,796.81,"M",7,"High"
"20260403_174426",5,"main",270,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,1019.86,"M",7,"High"
"20260403_174426",6,"main",180,"same","8cube_B","8cube_B","8cube_B","same","same",1,2185.22,"M",7,"High"
"20260403_174426",7,"main",90,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,3565.04,"M",7,"High"
"20260403_174426",8,"main",90,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,982.3,"M",7,"High"
"20260403_174426",9,"main",90,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,7325.13,"M",7,"High"
"20260403_174426",10,"main",0,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,1170.29,"M",7,"High"
"20260403_174426",11,"main",90,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,728.61,"M",7,"High"
"20260403_174426",12,"main",0,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,1084.16,"M",7,"High"
"20260403_174426",13,"main",180,"same","10cube_A","10cube_A","10cube_A","same","same",1,4925.52,"M",7,"High"
"20260403_174426",14,"main",270,"same","10cube_A","10cube_A","10cube_A","same","same",1,6947.24,"M",7,"High"
"20260403_174426",15,"main",270,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,2035.34,"M",7,"High"
"20260403_174426",16,"main",90,"same","10cube_A","10cube_A","10cube_A","same","same",1,7518.71,"M",7,"High"
"20260403_174426",17,"main",0,"same","10cube_A","10cube_A","10cube_A","same","same",1,1077.09,"M",7,"High"
"20260403_174426",18,"main",90,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,1252.14,"M",7,"High"
"20260403_174426",19,"main",90,"same","8cube_B","8cube_B","8cube_B","same","same",1,4298.91,"M",7,"High"
"20260403_174426",20,"main",270,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","same","different",0,2000.34,"M",7,"High"
"20260403_174426",21,"main",180,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,777.34,"M",7,"High"
"20260403_174426",22,"main",180,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,4569.76,"M",7,"High"
"20260403_174426",23,"main",0,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,679.44,"M",7,"High"
"20260403_174426",24,"main",0,"same","8cube_B","8cube_B","8cube_B","same","same",1,916.21,"M",7,"High"
"20260403_174426",25,"main",180,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,1014.77,"M",7,"High"
"20260403_174426",26,"main",0,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,762.34,"M",7,"High"
"20260403_174426",27,"main",270,"same","8cube_B","8cube_B","8cube_B","same","same",1,1540.84,"M",7,"High"
"20260403_174426",28,"main",180,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,10036.33,"M",7,"High"
"20260403_174426",29,"main",270,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,832.33,"M",7,"High"
"20260403_174426",30,"main",0,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,982.31,"M",7,"High"
"20260403_174426",31,"main",180,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,791.71,"M",7,"High"
"20260403_174426",32,"main",270,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,1047.96,"M",7,"High"
"20260403_182246",1,"main",90,"different","10cube_A","10cube_A_mirror","10cube_A","same","different",0,10336.52,"F",1,"Low"
